Metal,Smelter Reference List,Standard Smelter Names,Smelter Facility Location Country,Smelter ID,Smelter Facility Location Street Address,Smelter Facility Location City,Smelter Facility Location State / Province,Smelter Facility Contact Name,Smelter Facility Contact Email
Gold,Umicore SA,Umicore SA Business Unit Precious Metals Refining,BELGIUM,1BEL062,527 Pleasant St,Attleboro,MA,Jean Poole,jean.poole@umicore.com
Gold,Umicore SA Business Unit Precious Metals Refining,Umicore SA Business Unit Precious Metals Refining,BELGIUM,1BEL062,,,,,
Gold,Umicore SA Business Unit Precious Metals Refining,Umicore SA Business Unit Precious Metals Refining,BELGIUM,1BEL062,,,,,
Gold,Umicore SA Business Unit Precious Metals Refining,Umicore SA Business Unit Precious Metals Refining,BELGIUM,1BEL062,,,,,
Gold,EM Vinto,EM Vinto,BOLIVIA,Not Listed,KM7.5 Carettera a Potosf Postal: 612,Bolivia,Bolivia,Not Reported,(591) 25278094
Gold,AngloGold Ashanti Minera??o Ltda,AngloGold Ashanti Minera??o Ltda,BRAZIL,1BRA003,,,,,
Gold,AngloGold Ashanti Minera??o Ltda,AngloGold Ashanti Minera??o Ltda,BRAZIL,1BRA003,,,,,
Gold,AngloGold Ashanti Minera??o Ltda,AngloGold Ashanti Minera??o Ltda,BRAZIL,1BRA003,,,,,
Gold,AngloGold Ashanti,AngloGold Ashanti Minera??o Ltda,BRAZIL,1BRA003,,,,,
Gold,AngloGold Ashanti Minercao Ltda,AngloGold Ashanti Minercao Ltda,BRAZIL,1BRA003,Not Reported,Not Reported,Not Reported,Not Reported,sales@fxelectro.com
Gold,Umicore Brazil Ltd,Umicore Brasil Ltda,BRAZIL,1BRA061,,,,,
Gold,Umicore Brasil Ltda,Umicore Brasil Ltda,BRAZIL,1BRA061,,,,,
Gold,Umicore Brasil Ltda,Umicore Brasil Ltda,BRAZIL,1BRA061,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported
Gold,Xstrata Canada Corporation,CCR Refinery – Glencore Canada Corporation,CANADA,CID000185,,,,,
Gold,Heraeus Ltd. - Canada,Heraeus Ltd. - Canada,CANADA,Not Listed,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported
Gold,Johnson Matthey Limited,Johnson Matthey Limited,CANADA,1CAN024,,,,,NA
Gold,Johnson Matthey Canada,Johnson Matthey Limited,CANADA,1CAN024,130 Glidden Road,Ontario,Brampton,Andy McCullough,
Gold,Johnson Matthey Limited,Johnson Matthey Limited,CANADA,1CAN024,"130 Glidden Road, Ontario, Brampton",Ontario,Brampton,,
Gold,Johnson Matthey Limited,Johnson Matthey Limited,CANADA,1CAN024,,,,,
Gold,Johnson Matthey Limited,Johnson Matthey Limited,CANADA,1CAN024,"16 Smith Street, St Catharines, Ontario, L2R 6T7, Canada",Catharines,Ontario,Not Reported,Not Reported
Gold,Johnson Matthey Limited,Johnson Matthey Limited,CANADA,1CAN024,"130 Glidden Rd, Brampton, ON L6W 3M8, Canada",Brampton,Ontario,Andy McCullough,Fax 905-454-6869
Gold,Johnson Matthey Limited,Johnson Matthey Limited,CANADA,1CAN024,,,,,
Gold,Johnson Matthey Canada,Johnson Matthey Limited,CANADA,1CAN024,130 Glidden Road,Bramptom,Ontario,,
Gold,Royal Canadian Mint,Royal Canadian Mint,CANADA,1CAN050,320 Sussex Drive,Ottawaw,,David Madge,dmadge@mint.ca
Gold,Royal Canadian Mint,Royal Canadian Mint,CANADA,1CAN050,,,,David Madge,madge@mint.ca
Gold,Royal Canadian Mint,Royal Canadian Mint,CANADA,1CAN050,320 Sussex Drive,Ottawaw,unknown,Chris Carkner,carkner@mint.ca
Gold,Royal Canadian Mint,Royal Canadian Mint,CANADA,1CAN050,,,,,
Gold,Royal Canadian Mint,Royal Canadian Mint,CANADA,1CAN050,320 Sussex Dr,Ontario,Ontario K1A 0G8,,
Gold,Royal Canadian Mint,Royal Canadian Mint,CANADA,1CAN050,"320 Sussex Drive, Ottawa, ON K1N 5C7, Canada",Ottawa,Ontario,David Madge,madge@mint.ca
Gold,Royal Canadian Mint,Royal Canadian Mint,CANADA,1CDN050,"Winnepeg, Canada",Not Reported,Not Reported,Not Reported,Not Reported
Gold,Royal Canadian Mint,Royal Canadian Mint,CANADA,1CAN050,320 Sussex Dr,Ottawa,Ontario K1A0G8,David Madge,Fax 613-998-4130|NA
Gold,Royal Canadian Mint,Royal Canadian Mint,CANADA,1CAN050,320 SUSSEX DRIVE,Ottawa,Ontario,D. Madge,
Gold,Xstrata Canada Corporation,Xstrata Canada Corporation,CANADA,1CAN064,,,,,
Gold,Xstrata Canada Corporation,Xstrata Canada Corporation,CANADA,1CAN064,220  Durochr Avenue,Montreal,East Quebec,,
Gold,Xstrata Canada Corporation,Xstrata Canada Corporation,CANADA,1CAN064,220 Durochr Avenue,Montreal,East Quebec,,
Gold,Xstrata Canada Corporation,Xstrata Canada Corporation,CANADA,1CAN064,,,,,
Gold,Xstrata Canada Corporation,Xstrata Canada Corporation,CANADA,1CAN064,220 Durochr Avenue,Montreal,Quebec,,
Gold,Xstrata Canada Corporation,Xstrata Canada Corporation,CANADA,1CAN064,"100 King Street West, Suite 7200, Toronto, Ontario, Canada",Toronto,Ontario,Paul Healey,phealey@xstratacopper.ca
Gold,Xstrata Corporation,Xstrata Canada Corporation,CANADA,1CAN064,,,,Paul Healy,NA
Gold,Xstrata Canada Corporation,Xstrata Canada Corporation,CANADA,1CAN064,100 King Street West,Toronto,Ontario,Not disclosed,info@xstrata.com
Gold,"Xstrata LLC
Xstrata Canada Corporation
Xtrata Canada Corporation CCR Refinery","Xstrata LLC
Xstrata Canada Corporation
Xtrata Canada Corporation CCR Refinery",CANADA,1CAN064,"220 av Durocher, Montreal E, QC H1B 5H6",Montreal,Quebec,Not Reported,"http://www.xstrata.com/media/news/2009/01/13/2300CET/
info@xstrata.com"
Gold,Argor-Heraeus SA,Argor-Heraeus SA,CHILE,Not Listed,"El Bergantin 971 - Las Condes
Santiago de Chile",Not Reported,Not Reported,Not Reported,Not Reported
Gold,Codelco,Codelco,CHILE,1CHL014,,,,,
Gold,Codelco,Codelco,CHILE,1CHL014,,,,,
Gold,Codelco,Codelco,CHILE,1CHL014,Huerfanos #1270,Santiago,,Unknown,communica@codelco.cl
Gold,Codelco,Codelco,CHILE,1CHL014,,,,,
Gold,Codelco,Codelco,CHILE,1CHL014,"1270 Huerfanos, Santiago de Chile",Santiago,Santiago,Not Reported,http://www.codelco.com/contacto/prontus_codelco/2011-06-21/202536.html
Gold,Codelco,Codelco,CHILE,1CHL014,HUERFANOS#1270,,Santiago Metropolitan Region,,
Gold,Codelco,Codelco,CHILE,1CHL014,,,,,
Gold,Codelco,Codelco,CHILE,1CHL014,,,,,
Gold,Smelter Not Listed,Acade Noble Metal (Zhao Yuan) Corporation,CHINA,Not Supplied,,Yan Tai,Shan Dong,,
Gold,Academy Precious Metals (China) Co. LTD,Academy Precious Metals (China) Co. LTD,CHINA,Not Listed,Not Reported,Yan Tai,Shandong,Not Reported,Not Reported
Gold,Changzhou Chemical Research Institute Co. Ltd.,Changzhou Chemical Research Institute Co. Ltd.,CHINA,Not Listed,"No.102 Qinhe Road,Changzhou, China",Not Reported,Not Reported,Not Reported,Not Reported
Gold,China Gold,China Gold,CHINA,Not Listed,Yantai Shandong China,Not Reported,Not Reported,Not Reported,Not Reported
Gold,China National Gold Corporation,China National Gold Corporation,CHINA,Not Listed,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported
