ISRAEL,ISRAEL
ITALY,ITALY
JAMAICA,JAMAICA
JAPAN,JAPAN
JORDAN,JORDAN
KAZAKHSTAN,KAZAKHSTAN
KENYA,KENYA
KIRIBATI,KIRIBATI
DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,NORTH KOREA
REPUBLIC OF KOREA,SOUTH KOREA
KOSOVO,KOSOVO
KUWAIT,KUWAIT
KYRGYZSTAN,KYRGYZSTAN
PEOPLE'S DEMOCRATIC REPUBLIC OF LAO,LAO
LATVIA,LATVIA
LEBANON,LEBANON
LESOTHO,LESOTHO
LIBERIA,LIBERIA
LIBYA,LIBYA
LIECHTENSTEIN,LIECHTENSTEIN
LITHUANIA,LITHUANIA
LUXEMBOURG,LUXEMBOURG
MACAU,MACAU
REPUBLIC OF MACEDONIA,MACEDONIA
MADAGASCAR,MADAGASCAR
MALAWI,MALAWI
MALAYSIA,MALAYSIA
MALDIVES,MALDIVES
MALI,MALI
MALTA,MALTA
MARSHALL ISLANDS,MARSHALL ISLANDS
MARTINIQUE,MARTINIQUE
MAURITANIA,MAURITANIA
MAURITIUS,MAURITIUS
MAYOTTE,MAYOTTE
MEXICO,MEXICO
FEDERAL STATES OF MICRONESIA,MICRONESIA
REPUBLIC OF MOLDOVA,MOLDOVA
MONACO,MONACO
MONGOLIA,MONGOLIA
MONTENEGRO,MONTENEGRO
MONTSERRAT,MONTSERRAT
MOROCCO,MOROCCO
MOZAMBIQUE,MOZAMBIQUE
MYANMAR,BURMA
NAMIBIA,NAMIBIA
NAURU,NAURU
NEPAL,NEPAL
NETHERLANDS,NETHERLANDS
NETHERLANDS ANTILLES,NETHERLANDS ANTILLES
NEW CALEDONIA,NEW CALEDONIA
NEW ZEALAND,NEW ZEALAND
NICARAGUA,NICARAGUA
NIGER,NIGER
NIGERIA,NIGERIA
NIUE,NIUE
NORTHERN MARIANA ISLANDS,NORTHERN MARIANA ISLANDS
NORWAY,NORWAY
OMAN,OMAN
PAKISTAN,PAKISTAN
PALAU,PALAU
PALESTINIAN TERRITORIES,PALESTINE
PANAMA,PANAMA
PAPUA NEW GUINEA,PAPUA NEW GUINEA
PARAGUAY,PARAGUAY
PERU,PERU
PHILIPPINES,PHILIPPINES
PITCAIRN ISLAND,PITCAIRN ISLAND
POLAND,POLAND
PORTUGAL,PORTUGAL
PUERTO RICO,PUERTO RICO
QATAR,QATAR
REUNION ISLAND,REUNION ISLAND
ROMANIA,ROMANIA
RUSSIAN FEDERATION,RUSSIA
RWANDA,RWANDA
SAINT KITTS AND NEVIS,SAINT KITTS AND NEVIS
SAINT LUCIA,SAINT LUCIA
SAINT VINCENT AND THE GRENADINES,SAINT VINCENT AND THE GRENADINES
SAMOA,SAMOA
SAN MARINO,SAN MARINO
SAO TOME AND PRINCIPE,SAO TOME AND PRINCIPE
SAUDI ARABIA,SAUDI ARABIA
SENEGAL,SENEGAL
SERBIA,SERBIA
SEYCHELLES,SEYCHELLES
SIERRA LEONE,SIERRA LEONE
SINGAPORE,SINGAPORE
SLOVAK REPUBLIC,SLOVAKIA
SLOVENIA,SLOVENIA
SOLOMON ISLANDS,SOLOMON ISLANDS
SOMALIA,SOMALIA
SOUTH AFRICA,SOUTH AFRICA
SOUTH SUDAN,SOUTH SUDAN
SPAIN,SPAIN
SRI LANKA,SRI LANKA
SUDAN,SUDAN
SURINAME,SURINAME
SWAZILAND,SWAZILAND
SWEDEN,SWEDEN
SWITZERLAND,SWITZERLAND
SYRIAN ARAB REPUBLIC,SYRIA
REPUBLIC OF CHINA,TAIWAN
TAJIKISTAN,TAJIKISTAN
UNITED REPUBLIC OF TANZANIA,TANZANIA
THAILAND,THAILAND
TIBET,TIBET
TOGO,TOGO
TOKELAU,TOKELAU
TONGA,TONGA
TRINIDAD AND TOBAGO,TRINIDAD AND TOBAGO
TUNISIA,TUNISIA
TURKEY,TURKEY
TURKMENISTAN,TURKMENISTAN
TURKS AND CAICOS ISLANDS,TURKS AND CAICOS ISLANDS
TUVALU,TUVALU
UGANDA,UGANDA
UKRAINE,UKRAINE
UNITED ARAB EMIRATES,UNITED ARAB EMIRATES
UNITED KINGDOM,UNITED KINGDOM
UNITED STATES,UNITED STATES
URUGUAY,URUGUAY
UZBEKISTAN,UZBEKISTAN
VANUATU,VANUATU
VATICAN CITY STATE,HOLY SEE
VENEZUELA,VENEZUELA
VIETNAM,VIETNAM
BRITISH VIRGIN ISLANDS,VIRGIN ISLANDS
U.S. VIRGIN ISLANDS,VIRGIN ISLANDS
WALLIS AND FUTUNA ISLANDS,WALLIS AND FUTUNA ISLANDS
WESTERN SAHARA,WESTERN SAHARA
YEMEN,YEMEN
ZAMBIA,ZAMBIA
ZIMBABWE,ZIMBABWE
